#Table: J/MNRAS/434/3236/table2.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------
                     |     |e_p|     |e_p|      |    e|      |    e|
     RAdeg      DEdeg| pmRA|mRA| pmDE|mDE|  Jmag|_Jmag|  Kmag|_Kmag| Mass
---------------------|-----|---|-----|---|------|-----|------|-----|-----
129.359937 +19.486894|-43.1|4.1|-12.2|4.1|11.556|0.022|10.826|0.019|0.738
129.359968 +19.132154|-39.9|4.1|-11.4|4.1|12.017|0.022|11.190|0.019|0.656
129.362731 +18.976673|-39.2|4.1|-17.0|4.1|13.312|0.021|12.474|0.021|0.417
129.362773 +18.810947|-35.6|4.1|-17.7|4.1|14.311|0.023|13.470|0.031|0.267
129.364796 +19.617565|-31.8|2.1|-12.2|2.1|10.252|0.027|09.806|0.018|1.005
129.366207 +19.903524|-38.3|4.0|-13.5|4.0|13.406|0.029|12.534|0.025|0.401
129.378113 +21.127860|-37.2|4.0|-13.7|4.0|14.083|0.029|13.138|0.023|0.299
129.379369 +19.103954|-40.2|4.0|-15.3|4.0|11.489|0.026|10.767|0.018|0.750
129.381482 +22.866572|-36.4|4.0|-12.0|4.0|12.880|0.027|12.005|0.022|0.498
129.383354 +16.959908|-40.0|4.2|-11.6|4.2|13.914|0.026|13.086|0.030|0.324
129.384270 +18.883983|-37.6|4.0|-15.6|4.0|12.935|0.026|12.043|0.022|0.487
129.385116 +19.521683|-40.9|4.0|-17.2|4.0|12.721|0.026|11.787|0.022|0.527
129.387741 +20.669462|-39.0|4.0|-11.8|4.0|14.574|0.029|13.678|0.039|0.233
129.390478 +19.311007|-41.0|4.0|-16.7|4.0|12.914|0.027|12.021|0.024|0.491
129.390897 +20.013669|-34.9|1.1|-14.2|1.1|08.100|0.026|07.946|0.033|1.716
129.399011 +20.990984|-38.0|4.0|-14.5|4.0|10.889|0.024|10.252|0.018|0.866
129.401014 +19.265096|-36.9|4.0|-14.0|4.0|11.426|0.027|10.757|0.022|0.762
129.404147 +19.732913|-35.0|1.0|-14.3|1.1|07.370|0.026|07.288|0.020|2.067
129.409241 +18.482526|-41.3|4.0|-09.1|4.0|11.017|0.026|10.427|0.025|0.840
129.413371 +19.170061|-41.2|5.4|-07.8|5.4|15.055|0.035|14.162|0.048|0.184
129.419204 +19.550898|-40.0|4.0|-15.4|4.0|13.718|0.031|12.803|0.025|0.355
129.419614 +19.518417|-35.2|1.1|-12.4|1.1|07.779|0.046|07.662|0.018|1.875
129.423106 +18.513283|-35.2|5.4|-25.6|5.4|15.465|0.052|14.472|0.058|0.152
129.426512 +19.133764|-34.3|1.3|-12.5|1.2|08.915|0.044|08.577|0.020|1.367
129.437298 +19.674731|-34.6|4.0|-13.8|4.0|12.822|0.024|11.986|0.018|0.509
129.443379 +19.599312|-38.4|4.0|-08.6|4.0|10.725|0.026|10.244|0.018|0.900
129.444207 +19.438338|-35.0|1.3|-13.0|1.3|09.591|0.029|09.276|0.024|1.165
129.444846 +19.267219|-35.3|0.7|-12.9|0.6|06.266|0.026|06.165|0.018|2.455
129.447463 +19.106876|-35.2|2.2|-14.7|2.2|10.666|0.024|10.202|0.018|0.912
129.454627 +17.255036|-40.6|4.2|-13.5|4.2|12.268|0.024|11.390|0.018|0.612
129.455040 +20.785234|-31.8|5.5|-09.7|5.5|15.380|0.045|14.578|0.067|0.158
129.455494 +19.962900|-44.2|5.4|-16.9|5.4|15.247|0.048|14.218|0.055|0.168
129.457617 +19.514110|-33.1|4.0|-09.4|4.0|12.600|0.026|11.780|0.022|0.550
129.457667 +20.794641|-42.9|5.3|-15.8|5.3|14.760|0.038|13.777|0.034|0.212
129.465863 +19.414926|-36.3|4.0|-08.0|4.0|11.181|0.027|10.621|0.024|0.808
129.472701 +20.872968|-28.6|4.0|-04.7|4.0|14.610|0.027|13.721|0.034|0.229
129.474736 +22.293124|-29.5|4.0|-10.7|4.0|13.606|0.029|12.694|0.024|0.371
129.477380 +20.136746|-38.4|4.0|-16.0|4.0|12.683|0.029|11.816|0.022|0.534
129.478688 +19.486048|-38.0|4.0|-14.5|4.0|13.758|0.032|12.903|0.027|0.349
129.487635 +19.236212|-35.5|1.6|-14.0|1.6|10.470|0.029|10.038|0.020|0.955
129.488026 +19.463874|-36.2|4.0|-11.6|4.0|13.658|0.032|12.767|0.028|0.363
129.488658 +22.682056|-41.2|4.0|-14.8|4.0|14.047|0.032|13.148|0.032|0.305
129.489817 +18.973131|-37.1|5.3|-08.7|5.3|14.795|0.036|13.852|0.036|0.208
129.502020 +19.682296|-36.8|5.3|-11.5|5.3|14.995|0.040|14.117|0.045|0.189
129.502548 +18.964711|-36.7|4.0|-12.9|4.0|13.220|0.027|12.345|0.021|0.433
129.504732 +19.978614|-38.5|4.0|-14.5|4.0|13.805|0.029|12.862|0.024|0.341
129.505665 +20.541533|-31.6|5.3|-18.4|5.3|14.796|0.036|13.877|0.044|0.208
129.510321 +20.621247|-30.8|5.3|-15.6|5.3|14.937|0.038|14.013|0.044|0.194
129.510943 +21.205499|-28.6|4.0|-15.2|4.0|11.883|0.021|11.151|0.021|0.680
129.515494 +19.697573|-37.2|4.0|-08.8|4.0|13.403|0.026|12.499|0.024|0.401
129.519264 +20.659793|-35.8|4.0|-15.8|4.0|14.011|0.024|13.137|0.027|0.310
129.528177 +19.571611|-36.6|4.0|-18.5|4.0|14.338|0.031|13.391|0.033|0.263
129.529635 +17.310591|-40.8|4.2|-11.3|4.2|12.682|0.024|11.811|0.021|0.535
129.529828 +17.782401|-38.4|4.2|-19.5|4.2|12.998|0.022|12.116|0.021|0.475
129.530436 +20.448809|-42.3|4.0|-14.1|4.0|12.945|0.024|12.043|0.018|0.485
129.532201 +17.050664|-36.6|1.1|-13.1|1.1|08.943|0.039|08.704|0.021|1.357
129.533369 +20.064042|-37.7|4.0|-14.2|4.0|14.396|0.027|13.485|0.033|0.256
129.533686 +20.439542|-35.9|1.3|-15.1|1.3|10.358|0.026|09.932|0.019|0.980
129.533714 +18.741653|-35.7|4.0|-22.4|4.0|14.726|0.038|13.809|0.037|0.216
129.534080 +20.446148|-36.5|4.0|-11.2|4.0|12.936|0.026|12.023|0.019|0.487
129.557966 +21.157285|-35.9|4.0|-18.1|4.0|13.085|0.024|12.210|0.021|0.458
129.562411 +20.567826|-34.4|1.3|-14.1|1.3|10.106|0.021|09.717|0.018|1.039
129.565746 +21.385667|-38.0|4.0|-16.4|4.0|12.462|0.024|11.628|0.020|0.576
129.568971 +18.991293|-29.1|4.0|-04.5|4.0|13.402|0.029|12.566|0.023|0.401
129.570659 +20.309798|-32.4|5.3|-15.2|5.3|14.103|0.036|13.239|0.029|0.296
129.589122 +20.448112|-34.4|4.0|-12.8|4.0|12.347|0.026|11.503|0.021|0.599
129.589590 +20.137366|-43.5|5.3|-18.4|5.3|14.518|0.034|13.543|0.031|0.240
129.591118 +20.093242|-40.7|4.0|-09.7|4.0|14.877|0.031|13.894|0.042|0.200
129.595394 +21.433491|-42.7|5.4|-21.0|5.4|15.126|0.039|14.131|0.056|0.178
129.599439 +20.728027|-35.7|4.0|-11.4|4.0|12.080|0.021|11.300|0.020|0.645
129.601255 +20.106059|-33.4|1.3|-14.4|1.3|09.463|0.026|09.182|0.018|1.199
129.603691 +16.976690|-39.8|4.2|-10.7|4.2|13.224|0.023|12.347|0.023|0.433
129.605726 +18.941668|-42.7|4.0|-15.2|4.0|12.643|0.029|11.725|0.019|0.542
129.615542 +19.765465|-38.3|4.0|-11.4|4.0|12.630|0.026|11.765|0.021|0.545
129.623478 +19.862496|-41.2|4.1|-07.7|4.1|11.670|0.023|10.931|0.019|0.719
129.627819 +18.121744|-38.1|4.1|-08.6|4.1|12.145|0.022|11.285|0.023|0.633
129.629264 +16.790244|-34.4|1.7|-08.6|1.7|10.454|0.022|10.003|0.018|0.959
129.634704 +18.781332|-37.1|4.1|-13.1|4.1|13.425|0.023|12.528|0.024|0.398
129.636795 +19.773787|-38.3|4.1|-12.0|4.1|12.878|0.025|12.014|0.021|0.498
129.642153 +20.774791|-31.7|4.1|-11.4|4.1|14.279|0.024|13.359|0.031|0.271
129.643116 +18.188086|-38.6|4.1|-08.5|4.1|12.490|0.021|11.627|0.020|0.571
129.648500 +21.177260|-33.3|5.6|-19.5|5.6|15.164|0.040|14.278|0.070|0.175
129.654528 +21.246892|-31.4|4.1|-13.5|4.1|14.454|0.031|13.537|0.042|0.248
129.655143 +19.021136|-38.0|4.1|-11.8|4.1|11.349|0.021|10.613|0.016|0.776
129.656156 +19.257953|-35.5|4.1|-19.1|4.1|13.323|0.022|12.397|0.022|0.415
129.657763 +19.989751|-34.9|1.2|-13.2|1.3|07.700|0.020|07.610|0.018|1.914
129.662738 +20.170783|-42.6|4.1|-14.7|4.1|13.163|0.023|12.285|0.024|0.444
129.663110 +17.496820|-34.7|4.2|-17.8|4.2|14.944|0.035|13.962|0.049|0.194
129.663696 +19.694483|-37.6|5.5|-12.1|5.5|14.704|0.031|13.868|0.048|0.218
129.666468 +17.905834|-40.7|4.2|-15.5|4.2|14.806|0.040|13.939|0.055|0.207
129.672019 +19.996432|-35.9|5.6|-21.7|5.6|15.225|0.045|14.274|0.064|0.170
129.672775 +19.421705|-37.2|4.1|-16.4|4.1|11.997|0.023|11.188|0.022|0.659
129.673331 +19.571679|-33.9|4.1|-21.1|4.1|14.831|0.033|13.957|0.052|0.204
129.675603 +18.382084|-35.3|4.1|-19.2|4.1|14.054|0.028|13.270|0.037|0.304
129.680856 +17.938042|-24.2|5.5|-15.4|5.5|15.034|0.038|14.094|0.063|0.186
129.683042 +19.293972|-37.6|4.1|-16.5|4.1|12.834|0.021|11.961|0.019|0.506
129.695607 +19.500921|-35.9|1.1|-13.3|1.1|08.346|0.024|08.221|0.020|1.596
129.699917 +21.298436|-31.1|4.1|-17.8|4.1|13.629|0.022|12.753|0.023|0.367
129.707219 +18.265874|-38.6|4.1|-08.5|4.1|10.920|0.020|10.396|0.020|0.859
129.708363 +20.067648|-37.1|1.6|-13.2|1.6|09.696|0.025|09.367|0.018|1.138
129.711346 +19.415041|-39.6|4.1|-15.9|4.1|13.190|0.024|12.327|0.022|0.439
129.711827 +18.014581|-39.3|4.1|-10.8|4.1|13.929|0.025|12.984|0.030|0.322
129.712637 +19.850575|-42.0|4.1|-12.5|4.1|13.222|0.025|12.357|0.027|0.433
129.723091 +19.571391|-37.1|4.1|-15.9|4.1|11.734|0.022|10.965|0.022|0.708
129.725840 +19.862378|-30.6|4.2|-18.1|4.2|15.183|0.040|14.349|0.066|0.173
129.728179 +20.788017|-27.9|5.5|-13.9|5.5|14.967|0.041|14.064|0.059|0.192
129.730287 +19.283814|-38.5|4.1|-16.3|4.1|12.629|0.021|11.741|0.018|0.545
129.731136 +19.842618|-38.1|4.1|-10.8|4.1|14.395|0.030|13.576|0.036|0.256
129.731918 +17.252664|-37.8|4.2|-14.4|4.2|13.652|0.026|12.707|0.023|0.364
129.735808 +20.857725|-29.0|4.1|-16.6|4.1|14.022|0.027|13.116|0.031|0.308
129.737223 +18.858140|-39.3|4.1|-17.2|4.1|13.030|0.023|12.165|0.023|0.469
129.740682 +18.775245|-32.6|4.1|-12.5|4.1|13.542|0.024|12.710|0.026|0.380
129.743038 +19.613790|-30.8|4.1|-15.8|4.1|11.702|0.020|11.037|0.022|0.713
129.757708 +17.855774|-35.3|4.2|-15.9|4.2|12.662|0.021|11.769|0.020|0.538
129.759506 +19.326207|-38.9|4.1|-15.4|4.1|10.730|0.022|10.259|0.019|0.899
129.762116 +19.532548|-37.5|4.1|-16.9|4.1|12.829|0.022|11.962|0.019|0.507
129.762842 +19.404338|-38.9|4.1|-16.2|4.1|14.261|0.027|13.407|0.035|0.274
129.764945 +19.999750|-31.5|1.1|-12.6|1.3|07.860|0.023|07.769|0.018|1.834
129.766434 +20.567312|-38.0|4.1|-11.3|4.1|13.108|0.025|12.276|0.021|0.454
129.767133 +19.522679|-37.4|4.1|-12.3|4.1|11.562|0.022|10.857|0.016|0.737
129.771318 +19.757333|-36.1|4.1|-15.6|4.1|14.010|0.024|13.164|0.028|0.310
129.771808 +20.117168|-35.1|1.1|-14.3|1.2|08.603|0.030|08.413|0.027|1.484
129.778667 +20.348399|-39.1|4.1|-18.2|4.1|12.804|0.022|11.913|0.022|0.512
129.787910 +19.592390|-34.8|1.1|-14.1|1.1|08.006|0.019|07.875|0.026|1.762
129.789148 +17.797917|-36.7|5.8|-21.0|5.8|15.491|0.050|14.643|0.084|0.150
129.791076 +19.783036|-39.8|4.1|-13.9|4.1|12.181|0.020|11.347|0.020|0.627
129.792262 +19.678427|-36.3|1.3|-12.4|1.3|08.656|0.027|08.415|0.016|1.463
129.792358 +20.408372|-37.8|4.1|-13.6|4.1|11.781|0.022|10.999|0.018|0.700
129.800716 +19.115611|-35.8|1.5|-15.1|1.5|09.555|0.020|09.258|0.018|1.175
129.810384 +18.515282|-36.8|4.2|-17.2|4.2|15.319|0.052|14.699|0.103|0.163
129.810534 +20.021989|-38.0|4.1|-14.3|4.1|12.602|0.022|11.716|0.022|0.550
129.812474 +20.210778|-35.8|1.5|-14.1|1.6|10.042|0.023|09.649|0.020|1.054
129.812913 +19.725454|-33.4|4.1|-12.8|4.1|12.883|0.023|12.015|0.021|0.497
129.813594 +19.286505|-36.2|4.1|-16.3|4.1|13.043|0.022|12.208|0.023|0.466
129.814056 +19.324557|-35.7|5.5|-18.2|5.5|14.863|0.035|13.994|0.054|0.201
129.815515 +19.334019|-36.5|5.5|-14.8|5.5|15.001|0.038|14.175|0.060|0.189
129.819336 +17.462920|-33.4|1.6|-13.3|1.6|10.400|0.022|09.965|0.020|0.971
129.819962 +19.795165|-40.7|4.1|-12.4|4.1|12.970|0.022|12.077|0.022|0.480
129.825214 +20.739283|-36.9|4.1|-08.3|4.1|12.909|0.023|12.060|0.026|0.492
129.827077 +19.378954|-40.7|5.5|-12.0|5.5|15.014|0.040|14.007|0.050|0.187
129.828624 +20.464491|-27.2|4.1|-08.6|4.1|13.081|0.023|12.229|0.022|0.459
129.828730 +18.810127|-38.6|4.1|-18.2|4.1|13.694|0.024|12.792|0.027|0.358
129.831685 +20.291828|-28.6|4.1|-13.4|4.1|14.074|0.024|13.161|0.033|0.301
129.837856 +18.436708|-34.4|5.5|-17.5|5.5|14.678|0.032|13.850|0.045|0.221
129.838781 +22.089082|-40.2|4.1|-11.2|4.1|13.941|0.027|13.056|0.031|0.320
129.839790 +20.758134|-35.1|1.6|-14.8|1.6|10.476|0.022|10.026|0.019|0.954
129.841046 +19.861185|-37.8|4.1|-12.9|4.1|10.874|0.020|10.369|0.020|0.869
129.842315 +20.799561|-31.9|4.1|-15.6|4.1|14.222|0.029|13.363|0.036|0.279
129.843523 +20.081882|-38.0|4.1|-10.8|4.1|13.360|0.023|12.506|0.024|0.408
129.847809 +18.666427|-35.8|4.1|-09.3|4.1|12.715|0.028|11.858|0.025|0.528
129.858914 +18.804728|-37.0|5.5|-23.4|5.5|14.928|0.038|14.021|0.053|0.195
129.860625 +20.862411|-35.3|5.6|-10.1|5.6|15.058|0.038|14.137|0.064|0.184
129.861131 +20.431200|-38.1|4.1|-10.1|4.1|13.463|0.022|12.657|0.024|0.392
129.863651 +20.733118|-30.6|5.6|-10.6|5.6|15.325|0.046|14.508|0.080|0.162
129.864359 +18.248758|-37.6|4.1|-06.7|4.1|14.177|0.031|13.247|0.030|0.285
129.876752 +20.069054|-35.3|1.6|-12.9|1.6|09.140|0.041|08.807|0.018|1.291
129.877727 +17.980908|-37.7|4.2|-13.5|4.2|14.427|0.028|13.512|0.036|0.252
129.878932 +19.967190|-39.7|4.1|-16.5|4.1|13.546|0.023|12.694|0.023|0.379
129.882301 +19.404893|-34.4|4.1|-10.2|4.1|13.566|0.026|12.725|0.030|0.376
129.885165 +21.047946|-33.7|5.5|-14.0|5.5|14.611|0.032|13.627|0.037|0.229
129.893533 +20.955733|-36.5|4.1|-10.7|4.1|11.440|0.022|10.752|0.018|0.759
129.900634 +18.680271|-33.0|4.1|-11.7|4.1|14.892|0.038|13.894|0.047|0.198
129.901804 +19.260506|-39.5|4.1|-12.7|4.1|11.809|0.020|11.010|0.018|0.694
129.901881 +19.485524|-37.7|4.1|-12.4|4.1|12.254|0.020|11.391|0.020|0.614
129.904323 +17.788851|-37.1|4.2|-10.6|4.2|12.476|0.021|11.602|0.020|0.574
129.904800 +19.816123|-35.3|4.1|-10.6|4.1|12.286|0.023|11.386|0.018|0.609
129.906310 +18.170399|-36.5|2.2|-15.1|2.2|10.763|0.022|10.237|0.019|0.892
129.909863 +19.440859|-32.6|2.2|-10.3|2.2|10.839|0.022|10.286|0.020|0.876
129.915194 +19.115605|-34.5|5.5|-22.3|5.5|14.963|0.045|14.030|0.063|0.192
129.918796 +19.314965|-39.3|4.1|-09.5|4.1|14.083|0.028|13.228|0.033|0.299
129.919131 +18.616312|-36.1|4.1|-12.4|4.1|13.952|0.026|13.004|0.028|0.319
129.920951 +19.991344|-36.3|4.1|-10.9|4.1|12.177|0.020|11.323|0.019|0.628
129.923936 +20.028205|-37.4|4.1|-12.1|4.1|12.596|0.022|11.756|0.024|0.551
129.925125 +20.295861|-42.0|4.1|-14.5|4.1|14.027|0.024|13.136|0.035|0.307
129.927294 +19.308000|-35.3|4.1|-19.6|4.1|13.596|0.024|12.698|0.026|0.372
129.928285 +20.086214|-32.3|1.3|-12.7|1.3|07.251|0.018|07.159|0.020|2.119
129.931679 +20.494312|-37.0|4.1|-12.6|4.1|13.619|0.022|12.750|0.026|0.369
129.938374 +20.124306|-36.9|4.1|-13.5|4.1|13.136|0.023|12.296|0.024|0.449
129.940527 +18.976118|-41.9|4.1|-12.9|4.1|13.456|0.026|12.561|0.024|0.393
129.940634 +19.366988|-37.0|1.2|-14.0|1.2|09.565|0.020|09.259|0.020|1.172
129.944019 +19.217794|-38.9|4.1|-11.3|4.1|12.345|0.022|11.506|0.020|0.599
129.946122 +19.827645|-39.7|4.1|-10.2|4.1|11.006|0.023|10.435|0.019|0.842
129.956647 +18.347418|-34.3|1.1|-14.0|1.2|08.436|0.027|08.279|0.026|1.556
129.961320 +19.540805|-31.8|1.3|-12.9|1.3|05.180|0.244|04.389|0.040|2.572
129.961825 +19.550576|-35.4|2.1|-14.2|2.1|10.421|0.022|09.996|0.022|0.966
129.963682 +20.580544|-42.1|4.1|-12.1|4.1|12.492|0.022|11.589|0.021|0.571
129.963940 +19.305543|-32.2|4.1|-03.0|4.1|14.264|0.033|13.417|0.036|0.273
129.968074 +19.312638|-34.3|1.6|-15.2|1.6|09.283|0.022|09.008|0.020|1.248
129.969345 +20.512880|-30.6|4.1|-12.0|4.1|13.366|0.025|12.524|0.026|0.407
129.971507 +19.401044|-34.8|4.1|-05.6|4.1|13.905|0.026|13.014|0.031|0.326
129.976374 +20.560217|-34.5|1.1|-13.0|1.2|08.536|0.019|08.377|0.019|1.512
129.976703 +19.460329|-36.1|4.1|-18.1|4.1|14.242|0.026|13.358|0.041|0.276
129.990712 +19.541476|-32.7|1.3|-15.1|1.3|07.065|0.019|07.007|0.023|2.195
129.993227 +20.158253|-35.9|1.1|-13.9|1.1|08.273|0.023|08.100|0.017|1.631
129.999919 +19.577903|-39.9|4.1|-08.2|4.1|11.134|0.020|10.552|0.018|0.817
130.000248 +17.368345|-38.4|5.6|-14.9|5.6|15.009|0.036|14.055|0.045|0.188
130.002608 +19.806562|-37.0|1.2|-12.8|1.2|09.330|0.022|09.079|0.020|1.235
130.002933 +19.309636|-40.8|4.1|-14.8|4.1|11.744|0.022|10.918|0.020|0.706
130.005401 +20.135631|-35.7|1.2|-14.3|1.2|08.855|0.034|08.624|0.018|1.387
130.005591 +20.372932|-26.8|5.6|-18.4|5.6|15.061|0.039|14.210|0.066|0.183
130.009287 +18.949151|-36.7|4.1|-11.9|4.1|11.997|0.020|11.160|0.020|0.659
130.015272 +19.916528|-35.1|4.1|-16.2|4.1|13.234|0.022|12.355|0.022|0.431
130.016285 +18.932612|-43.3|5.5|-13.4|5.5|15.093|0.041|14.174|0.061|0.181
130.017337 +19.413957|-37.9|4.1|-14.9|4.1|13.836|0.023|12.967|0.031|0.337
130.017339 +19.784447|-33.0|1.6|-14.1|1.6|10.507|0.022|10.004|0.020|0.947
130.018939 +17.436105|-33.2|4.2|-04.4|4.2|14.624|0.032|13.646|0.039|0.227
130.020430 +19.729258|-35.4|1.3|-10.9|1.3|08.909|0.018|08.651|0.020|1.369
130.027126 +21.264793|-34.3|4.1|-11.5|4.1|13.658|0.023|12.773|0.026|0.363
130.033947 +20.218504|-46.2|5.5|-12.3|5.5|14.651|0.031|13.811|0.049|0.224
130.040339 +19.621419|-34.0|2.2|-11.3|2.2|10.556|0.020|10.133|0.020|0.936
130.041001 +18.097268|-36.3|4.1|-07.0|4.1|11.372|0.023|10.679|0.018|0.772
130.041770 +20.418964|-36.3|4.1|-12.8|4.1|12.166|0.022|11.308|0.018|0.630
130.042231 +22.431885|-34.2|5.5|-10.9|5.5|15.198|0.052|14.242|0.070|0.172
130.045196 +18.982506|-37.9|4.1|-12.2|4.1|12.872|0.021|12.007|0.022|0.500
130.047730 +19.971136|-31.2|1.5|-12.4|1.6|06.498|0.020|06.532|0.023|2.391
130.051328 +19.639532|-34.8|1.3|-13.2|1.3|08.928|0.023|08.669|0.023|1.362
130.054579 +20.057809|-40.3|4.1|-11.2|4.1|13.117|0.024|12.247|0.024|0.453
130.056048 +19.778796|-38.0|4.1|-11.9|4.1|11.282|0.022|10.640|0.020|0.789
130.057430 +19.748879|-38.7|4.1|-13.6|4.1|12.752|0.023|11.881|0.022|0.521
130.063336 +20.087223|-38.6|4.1|-09.0|4.1|13.567|0.027|12.687|0.023|0.376
130.064567 +19.458613|-40.7|4.1|-12.8|4.1|11.430|0.022|10.689|0.020|0.761
130.070405 +20.711734|-41.1|5.5|-10.0|5.5|13.856|0.027|12.973|0.029|0.333
130.070596 +20.700191|-37.3|5.6|-16.2|5.6|15.143|0.038|14.264|0.069|0.177
130.071114 +18.608279|-36.6|4.1|-13.0|4.1|14.245|0.028|13.348|0.036|0.276
130.075411 +19.531985|-34.0|1.3|-11.7|1.3|07.208|0.020|07.163|0.017|2.137
130.079562 +18.361931|-34.0|4.1|-15.1|4.1|13.394|0.025|12.558|0.024|0.403
130.080017 +18.634041|-45.2|5.6|-16.0|5.6|15.101|0.037|14.299|0.066|0.180
130.082597 +18.927297|-38.9|4.1|-07.4|4.1|12.418|0.021|11.544|0.022|0.585
130.083933 +19.348993|-35.8|1.4|-12.9|1.5|06.169|0.021|06.045|0.017|2.483
130.086449 +19.686733|-36.4|1.2|-12.6|1.2|07.327|0.020|07.275|0.023|2.086
130.088827 +19.181557|-39.2|4.1|-13.2|4.1|11.485|0.024|10.757|0.028|0.751
130.092032 +19.669938|-34.7|1.2|-14.1|1.3|04.909|0.208|04.181|0.036|2.525
130.092366 +18.123571|-36.9|4.1|-08.6|4.1|12.378|0.023|11.520|0.022|0.593
130.092976 +20.106758|-36.6|1.4|-12.9|1.5|09.137|0.022|08.852|0.018|1.292
130.093381 +20.640859|-43.2|4.1|-14.6|4.1|12.085|0.022|11.220|0.016|0.644
130.094654 +19.464772|-33.7|1.6|-11.7|1.6|09.640|0.022|09.336|0.020|1.153
130.096950 +19.673234|-36.2|1.5|-14.5|1.5|09.368|0.032|09.005|0.020|1.225
130.097786 +19.834973|-33.8|1.2|-13.1|1.3|07.641|0.020|07.590|0.020|1.942
130.106426 +19.475772|-33.2|1.6|-12.0|1.6|09.004|0.035|08.763|0.020|1.337
130.108899 +19.686485|-35.8|1.0|-15.3|1.1|08.563|0.023|08.365|0.018|1.500
130.110693 +20.253668|-40.1|4.1|-14.7|4.1|13.058|0.026|12.186|0.024|0.463
130.112545 +19.544809|-35.2|0.6|-12.8|0.5|05.940|0.021|05.879|0.018|2.513
130.113034 +16.785161|-31.7|1.7|-13.5|1.7|10.507|0.022|10.028|0.020|0.947
130.114324 +19.278038|-33.6|1.6|-11.4|1.6|10.012|0.023|09.655|0.020|1.061
130.114630 +19.655500|-35.9|4.1|-10.5|4.1|11.302|0.021|10.688|0.020|0.785
130.117628 +18.935827|-39.8|4.1|-13.2|4.1|12.581|0.021|11.713|0.023|0.554
130.127444 +19.933016|-39.9|4.1|-10.3|4.1|13.273|0.024|12.394|0.027|0.424
130.129444 +18.432276|-34.3|4.1|-11.9|4.1|13.251|0.023|12.373|0.024|0.428
130.132026 +19.850281|-34.5|1.6|-14.0|1.6|10.294|0.023|09.911|0.018|0.995
130.132685 +20.201671|-37.1|1.6|-14.4|1.6|10.259|0.023|09.831|0.014|1.003
130.139446 +19.633597|-39.8|4.1|-10.0|4.1|10.706|0.023|10.169|0.018|0.904
130.139995 +18.674490|-35.0|1.3|-12.2|1.3|10.249|0.021|09.832|0.016|1.005
130.142362 +18.359187|-33.3|4.1|-13.0|4.1|14.422|0.031|13.625|0.046|0.252
130.145640 +20.601056|-37.9|5.5|-19.1|5.5|14.879|0.036|13.964|0.050|0.199
130.150971 +21.561715|-36.1|1.6|-12.5|1.6|10.386|0.020|09.974|0.018|0.974
130.151075 +17.950106|-36.4|4.2|-15.0|4.2|13.466|0.025|12.578|0.024|0.391
130.163502 +19.228290|-35.1|1.3|-13.5|1.3|07.329|0.019|07.230|0.021|2.086
130.164056 +19.939941|-36.2|4.1|-13.0|4.1|13.557|0.030|12.686|0.027|0.378
130.164683 +18.818266|-37.0|4.1|-10.9|4.1|11.759|0.020|11.004|0.016|0.703
130.173582 +19.500208|-35.3|5.5|-13.3|5.5|14.364|0.031|13.536|0.037|0.260
130.177006 +19.566007|-36.1|1.3|-15.4|1.3|10.091|0.023|09.706|0.018|1.042
130.180026 +19.719315|-34.7|0.7|-11.6|0.5|06.396|0.020|06.329|0.017|2.420
130.184965 +18.656538|-37.5|4.1|-07.4|4.1|11.126|0.021|10.500|0.016|0.818
130.192026 +16.818724|-41.3|5.6|-08.7|5.6|14.934|0.041|14.055|0.050|0.194
130.192026 +19.309607|-35.6|1.3|-13.3|1.3|08.735|0.026|08.534|0.020|1.432
130.195487 +20.474767|-33.8|4.1|-18.8|4.1|12.583|0.022|11.680|0.022|0.553
130.198394 +18.903317|-36.1|1.6|-14.9|1.6|10.126|0.020|09.686|0.020|1.034
130.199120 +20.479964|-38.1|4.1|-13.4|4.1|13.129|0.022|12.248|0.023|0.450
130.201349 +19.921911|-35.5|1.6|-15.2|1.6|09.864|0.022|09.507|0.020|1.097
130.216106 +19.941720|-39.9|4.1|-15.7|4.1|13.298|0.025|12.400|0.022|0.419
130.217982 +19.174542|-36.7|4.1|-11.9|4.1|12.989|0.023|12.104|0.022|0.477
130.218667 +20.266519|-32.7|1.1|-12.1|1.2|07.911|0.020|07.804|0.018|1.809
130.218727 +18.017019|-28.2|5.6|-17.4|5.6|15.434|0.052|14.542|0.087|0.154
130.218851 +19.483219|-36.2|1.6|-13.8|1.6|09.337|0.025|09.049|0.020|1.233
130.221917 +18.748326|-34.8|4.1|-16.7|4.1|14.587|0.030|13.674|0.043|0.232
130.224264 +19.378892|-40.1|4.1|-13.9|4.1|12.491|0.022|11.633|0.022|0.571
130.224879 +20.090103|-43.3|4.1|-16.7|4.1|13.796|0.026|12.880|0.026|0.343
130.230464 +18.583118|-37.9|4.1|-10.6|4.1|11.924|0.022|11.128|0.022|0.673
130.231196 +18.297858|-43.4|4.1|-10.0|4.1|14.713|0.035|13.861|0.053|0.217
130.232164 +18.826184|-33.5|4.1|-15.2|4.1|14.338|0.026|13.455|0.036|0.263
130.232906 +18.246172|-36.9|4.1|-13.9|4.1|13.677|0.024|12.826|0.027|0.360
130.234577 +19.580338|-34.4|0.7|-10.7|0.5|06.368|0.021|06.280|0.018|2.428
