#Table: J/MNRAS/434/3236/table2.dat (http://cdsarc.cds.unistra.fr)
-------------------------------------------------------------------------
                     |     |e_p|     |e_p|      |    e|      |    e|
     RAdeg      DEdeg| pmRA|mRA| pmDE|mDE|  Jmag|_Jmag|  Kmag|_Kmag| Mass
---------------------|-----|---|-----|---|------|-----|------|-----|-----
128.033136 +18.740761|-29.2|4.1|-15.6|4.1|13.507|0.023|12.570|0.023|0.385
128.044481 +21.341574|-35.8|4.1|-09.8|4.1|11.766|0.022|10.959|0.018|0.702
128.074431 +19.547085|-38.8|4.1|-15.6|4.1|13.875|0.025|13.022|0.028|0.330
128.078714 +19.052412|-38.2|4.1|-16.3|4.1|13.671|0.025|12.826|0.032|0.361
128.097816 +20.995799|-38.8|4.1|-11.9|4.1|11.043|0.022|10.470|0.018|0.835
128.135176 +20.844733|-39.6|4.1|-16.0|4.1|13.601|0.022|12.715|0.023|0.371
128.139216 +20.080097|-43.2|4.1|-14.1|4.1|11.277|0.022|10.627|0.020|0.790
128.147931 +17.609122|-27.8|4.2|-08.7|4.2|14.756|0.040|13.887|0.047|0.212
128.164446 +19.956201|-33.3|1.6|-16.0|1.6|10.823|0.022|10.372|0.023|0.879
128.186726 +18.036159|-40.8|4.1|-11.5|4.1|12.644|0.022|11.747|0.020|0.542
128.194957 +19.997729|-42.5|4.1|-17.9|4.1|13.798|0.026|12.948|0.027|0.343
128.203231 +18.677984|-36.9|4.1|-15.8|4.1|13.397|0.027|12.469|0.022|0.402
128.217634 +19.976643|-38.9|4.1|-15.9|4.1|11.145|0.022|10.560|0.020|0.815
128.231914 +18.732821|-39.9|4.1|-15.3|4.1|11.225|0.022|10.602|0.020|0.799
128.241986 +22.205646|-42.0|4.1|-12.5|4.1|13.730|0.027|12.870|0.026|0.353
128.246119 +17.306532|-40.9|4.2|-11.9|4.2|13.017|0.022|12.185|0.025|0.471
128.248273 +20.120804|-42.7|5.5|-21.2|5.5|14.817|0.037|13.900|0.050|0.206
128.251654 +20.719533|-40.0|4.1|-12.6|4.1|12.840|0.022|11.976|0.020|0.505
128.262050 +18.682638|-37.9|4.1|-16.7|4.1|11.333|0.023|10.677|0.019|0.779
128.273220 +18.930189|-38.4|4.1|-17.0|4.1|13.071|0.023|12.187|0.020|0.461
128.281071 +20.130076|-39.6|4.1|-13.1|4.1|11.681|0.022|10.927|0.022|0.717
128.282141 +18.754372|-40.7|4.1|-13.4|4.1|14.401|0.031|13.571|0.037|0.255
128.285238 +20.443683|-29.3|4.1|-14.0|4.1|12.821|0.023|11.944|0.019|0.509
128.295754 +19.489495|-34.8|4.1|-13.7|4.1|13.802|0.028|12.910|0.032|0.342
128.306128 +20.550329|-40.2|4.1|-12.1|4.1|13.335|0.021|12.482|0.021|0.413
128.308042 +20.713439|-40.6|5.6|-02.4|5.6|15.295|0.045|14.397|0.066|0.165
128.309372 +20.605917|-40.4|4.1|-11.5|4.1|14.580|0.038|13.788|0.043|0.233
128.309992 +19.076788|-35.5|4.1|-16.0|4.1|12.967|0.023|12.089|0.018|0.481
128.314257 +20.702476|-37.9|4.1|-16.8|4.1|11.015|0.022|10.436|0.019|0.840
128.319315 +21.339022|-34.6|4.1|-11.8|4.1|13.177|0.025|12.271|0.026|0.441
128.323422 +19.430700|-39.3|4.1|-11.3|4.1|11.587|0.022|10.859|0.020|0.733
128.324938 +19.275781|-37.0|4.1|-15.3|4.1|13.732|0.023|12.806|0.028|0.353
128.341403 +22.092869|-33.4|5.5|-20.1|5.5|15.228|0.050|14.400|0.064|0.170
128.347836 +20.300896|-43.1|5.6|-19.9|5.6|15.014|0.043|14.129|0.052|0.187
128.352578 +19.882758|-41.3|4.1|-13.2|4.1|13.683|0.025|12.778|0.030|0.360
128.362519 +19.341339|-39.8|4.1|-09.0|4.1|12.232|0.022|11.348|0.022|0.618
128.367533 +18.726759|-41.3|5.5|-23.1|5.5|14.830|0.037|14.018|0.043|0.204
128.391015 +18.408353|-39.9|5.6|-11.5|5.6|15.062|0.051|14.224|0.056|0.183
128.391436 +20.073795|-40.6|4.1|-11.1|4.1|13.394|0.027|12.547|0.023|0.403
128.393769 +19.951628|-35.8|5.6|-21.4|5.6|15.162|0.045|14.321|0.063|0.175
128.408439 +18.954881|-39.7|4.1|-16.0|4.1|13.351|0.022|12.520|0.020|0.410
128.409910 +20.481276|-31.4|4.1|-14.6|4.1|14.319|0.027|13.430|0.028|0.266
128.438268 +20.389930|-36.9|4.2|-07.4|4.2|15.187|0.057|14.383|0.071|0.173
128.438577 +19.654444|-34.8|4.1|-10.8|4.1|13.607|0.023|12.668|0.026|0.370
128.445714 +21.441016|-37.4|4.1|-09.6|4.1|11.967|0.021|11.148|0.023|0.665
128.502041 +18.926708|-35.4|4.1|-15.5|4.1|13.426|0.021|12.510|0.024|0.397
128.506468 +21.010843|-38.2|5.6|-16.1|5.6|14.766|0.031|13.893|0.040|0.211
128.510245 +19.322766|-37.4|4.1|-13.6|4.1|12.663|0.021|11.759|0.020|0.538
128.513080 +20.341819|-38.5|4.1|-17.8|4.1|13.883|0.023|12.968|0.026|0.329
