   1  -0.000   0.000  3.472  2.677   67.730  61.133  54.730  52.173  16.794  13.599 11.548  0.007 1 1
   2  10.261  -2.708  3.586  2.768  104.730  70.976  78.730  65.493 -99.000  12.388 10.253  0.005 1 1
   3   6.817   6.062  3.689  2.847  103.730  70.851  77.730  65.205  14.895  12.169 10.256  0.008 1 1
   4   2.071   1.391  3.559  2.745   88.730  68.047  71.730  62.975  15.631  12.376 10.297  0.013 1 1
   5   4.487   2.395  3.348  2.582   79.730  65.767  67.730  61.133  15.399  12.417 10.434  0.007 1 1
   6   4.908   1.357  3.404  2.629  104.730  70.976  79.730  65.767  14.933  12.009  9.998  0.008 1 1
   7   9.374   9.398 -9.000 -9.000 -999.000 -99.000 -99.000 -99.000  16.303  12.416 10.066  0.006 1 0
   8   5.560   4.107  3.461  2.673  104.730  70.976  79.730  65.767  14.893  12.102 10.221  0.007 1 1
   9  -3.406   1.189 -9.000 -9.000 -999.000 -99.000 -99.000 -99.000 -99.000  10.961 10.353  0.005 1 0
  10   2.784  11.842  3.157  2.437   75.730  64.540  64.730  59.414  15.169  12.595 10.554  0.002 1 1
  11   0.946  15.705 -9.000 -9.000 -999.000 -99.000 -99.000 -99.000 -99.000  13.010 10.661  0.007 1 0
  12  -4.662  -2.162 -9.000 -9.000 -999.000 -99.000 -99.000 -99.000  16.982  13.237 10.775  0.005 1 0
  13   2.997   6.360  4.007  3.093   93.730  69.209  72.730  63.392  15.651  12.810 10.845  0.008 1 1
  14  -1.940  -3.246 -9.000 -9.000 -999.000 -99.000 -99.000 -99.000  17.519  13.420 10.852  0.007 1 0
  15   8.289   1.081  3.346  2.582   75.730  64.540  64.730  59.414  15.632  12.790 10.945  0.005 1 1
  16   9.258   7.051  3.131  2.414   69.730  62.089  57.730  54.587  15.303  12.727 10.988  0.007 1 1
  17   0.221  -2.868  3.166  2.441   68.730  61.620  56.730  53.790  16.529  13.325 11.106  0.006 1 1
  18   6.247   2.976  3.141  2.422   67.730  61.133  55.730  52.985  15.726  13.010 11.165  0.006 1 1
  19  -9.166  10.381 -9.000 -9.000 -999.000 -99.000 -99.000 -99.000 -99.000  14.091 11.247  0.007 1 0
